trial	value	u1-broader-P31o-mllm-en	u1-broader-P921o-mllm-en	u1-broader-P279-mllm-en	u1-broader-P910-mllm-en	u1-broader-stwfsa-en	u1-broader-yake-en	u1-broader-tfidf-en
0	0.29813333333333325	0.10021234831465238	0.2285959958197917	0.07277643509125134	0.17323344034043964	0.058531558658452464	0.2161684587742906	0.15048176300112193
1	0.30326666666666663	0.19531437625113537	0.2518170212698338	0.3487691788388894	0.06509060405657677	0.032197762814883964	0.030155124866976565	0.07665593190170408
2	0.30476666666666663	0.21440994121264076	0.19081524012822687	0.06517768254354177	0.0125276018815985	0.19448759695639165	0.13377381775167546	0.18880811952592494
3	0.3055333333333333	0.15938513429158702	0.161777788059706	0.028929143011230854	0.21433843964060453	0.1705280599311025	0.0872635609002056	0.1777778741655636
4	0.2981333333333333	0.14754191689340942	0.14273544912336067	0.1640820589821809	0.056296132550043516	0.10704787069141612	0.20722202203801152	0.1750745497215779
5	0.29746666666666666	0.23971136767269818	0.22111826613681806	0.0575836254005093	0.17478896613239667	0.025893145306389732	0.10165028593240019	0.1792543434187879
6	0.2952666666666667	0.11919966819688434	0.2816112125139761	0.06564370999351839	0.10902706686460323	0.03641170718547927	0.2197535020395633	0.16835313320597545
7	0.29866666666666664	0.13847621321014392	0.1144242926099365	0.12873177421324036	0.0513965972285004	0.2065607204613592	0.23845666303721594	0.12195373923960362
8	0.30169999999999997	0.10556780557246696	0.08128467676618514	0.19822985854929576	0.19151917391004514	0.1125106565752442	0.1279260864810553	0.1829617421457075
9	0.2832333333333333	0.022473684410145408	0.20607637830477074	0.23474087686876216	0.1498324194035025	0.018401664853186145	0.05404901799179094	0.3144259581678421
10	0.3099666666666666	0.2839356672984015	0.037006594164917285	0.003703162028931886	0.28695226768035414	0.2781928504133939	0.09982208506713007	0.01038737334687116
11	0.3102	0.2965128545419207	0.006025619551814207	0.004813790297811928	0.2958168333934241	0.29155152081703306	0.10351242235912847	0.001766959038867437
12	0.31039999999999995	0.3169464338829214	0.0036737342307108893	0.020087613359509583	0.25492265135407915	0.3102373812846713	0.08900882463351552	0.005123361254592196
13	0.30926666666666663	0.31240468047261805	0.00048556306104553923	0.00027457091875947613	0.2451372671411351	0.30304596899187564	0.0554101855904971	0.08324176382406909
14	0.3097	0.2519822666024679	0.06974574284951872	0.13042430711118697	0.2502464251204837	0.1971445863815239	0.08702337766169771	0.01343329427312114
15	0.3074666666666666	0.08332330137670033	0.07968176448146198	0.03373920769888861	0.2128315558926207	0.3565176565713218	0.1456201037874937	0.08828641019151279
16	0.3076666666666666	0.16369728234104522	0.02277004772156514	0.1720612938625914	0.20954969030391282	0.21214442270998926	0.12173438067026093	0.0980428823906353
17	0.30913333333333326	0.31856758064269447	0.11056531763187752	0.03598889452892954	0.2365065007509463	0.24845546906929644	0.0012553073084213243	0.04866093006783437
18	0.3074333333333333	0.2729854466743182	0.012124847714609156	0.11566474084863351	0.2753426796304699	0.14602475635799997	0.06666118470165555	0.1111963440723138
19	0.3083999999999999	0.21399674630398155	0.06420021112017447	0.0680272121477803	0.15326755707119843	0.2994952811015246	0.16653730581801757	0.03447568643732299
