trial	value	u1-broader-tfidf-en	u1-broader-yake-en	u1-broader-P31o-mllm-en	u1-broader-P921o-mllm-en	u1-broader-P279-mllm-en	u1-broader-P910-mllm-en	u1-broader-stwfsa-en
0	0.8389777541160583	0.18475929734398924	0.21247308239250812	0.14813873766884325	0.08516066141642012	0.03140392609254496	0.1024718264718347	0.23559246861385955
1	0.8246304392814636	0.22988987233499283	0.1753460649249185	0.0814645769481281	0.14965353464465767	0.1034179875109653	0.14125006890043793	0.11897789473589976
2	0.8827252388000488	0.002195072808294773	0.16531924347549476	0.0847286071550105	0.18634136583852606	0.16446541092427444	0.17394860762460693	0.22300169217379257
3	0.8290392756462097	0.26663275442047574	0.16600906599594392	0.04590282671360686	0.08339023353772443	0.10669663435559315	0.15834325027415636	0.17302523470249961
4	0.8439471125602722	0.1629005122246174	0.11188165230317981	0.11689966006957624	0.07205116618423087	0.15474640239101164	0.2797174027900593	0.10180320403732478
5	0.8051902651786804	0.20095159978564328	0.30664678711554677	0.010879570871316304	0.03783572123717269	0.055704291347588315	0.07855837429792784	0.3094236553448049
6	0.8299263715744019	0.1537541121601087	0.12439013418730885	0.11087363183653172	0.14688833457995054	0.05569711027070867	0.3645422079713966	0.043854468993994915
7	0.8643853664398193	0.027710114710714977	0.13600108924552795	0.161215938011964	0.10867211175706715	0.20050554896570635	0.23820928335733316	0.12768591395168644
8	0.8343022465705872	0.2856194971688423	0.08012667907576311	0.2334159004889483	0.11738422070324633	0.044349013672249187	0.041190529524985996	0.19791415936596474
9	0.8580833077430725	0.17782855318779112	0.011792365725295939	0.1295800319886474	0.21760648213386538	0.17052241406948304	0.0918004243653629	0.2008697285295542
