<http://id.loc.gov/authorities/subjects/sh85020828>	Cataloging of archival materials
<urn:rula:385b847ebbd4c248d4d81c0225b17bbbbb96d08ebd22fbf0f488c8ca700bf38b>	Liaison of Independent Filmmakers of Toronto (LIFT)
<urn:rula:cf638b54cc5fe0044b2a7985b6983da487fd2191fa0973f5c4a7805f447ac478>	Amateur films--Conservation and restoration
<urn:rula:f6b0a763f7c54aae426855d43ae10b27a5b86414714d9fb364ae37f52e7fb684>	Documentary films--Conservation and restoration
<http://id.loc.gov/authorities/subjects/sh96010741>	Motion picture film--Conservation and restoration
<http://id.loc.gov/authorities/subjects/sh96009547>	Independent filmmakers
<http://id.loc.gov/authorities/genreForms/gf2011026324>	Independent films
<http://id.loc.gov/authorities/genreForms/gf2011026614>	Stock footage
<urn:rula:3cd77076827ba9761f69f45714809224f5ceb53c5b6c85a847812d146cb2f92e>	James Madvo, 1924-2014--Biography
<http://id.loc.gov/authorities/subjects/sh85020868>	Cataloging of motion pictures
