<http://id.loc.gov/authorities/subjects/sh86002036>	Composite-reinforced concrete
<urn:rula:bfa6fc582463041dfeb64a3cc875d4cc555f44c0b0c36f093f71be8998cff9a7>	Shear (Mechanics)--Measurement
<urn:rula:6bc985a095e0cfcf19bea9d03c39ecf58221fb85186bf5f57c8ac16b124cd671>	Flexure--Mathematical models
<urn:rula:3adaaa8a347f9da96fd2ef3c14e41105ad7676d35ac52f65d0f1c2949334c501>	Strengths of materials--Mathematical models
<urn:rula:3a717caaf34ec6feec6ca2cd3b757cf30d5a069b0371b2243e23999aa11f008d>	Strains and stresses-- Mathematical models
<urn:rula:6996d44eabddb52c6bf68458d0305e8650f3bc331809b99d07b6935cc4aeb3ac>	High strength concrete--Testing
<http://id.loc.gov/authorities/subjects/sh85030655>	Concrete--Cracking
<http://id.loc.gov/authorities/subjects/sh85030699>	Concrete beams
<http://id.loc.gov/authorities/subjects/sh85112451>	Reinforced concrete construction
<urn:rula:1ad443b1a6b5e4e76c1dd9c8edc1a6b478f2ef3368d7f7c35b934f5d10a2e971>	Shear (Mechanics)--Mathematical models
