<http://id.loc.gov/authorities/subjects/sh85108350>	Psychiatric ethics
<urn:rula:7ccee13d17d1da05d21e0efff7e57bc31c3b2591b1a21172512f5dffc1d5472e>	Psychiatry--Canada
<http://id.loc.gov/authorities/subjects/sh85108381>	Psychiatry
<urn:rula:eb8770e6c2bd3723e519e595260374e8e19f396fa645767ee5ac1a3224a03827>	Mental illness--Canada
<http://id.loc.gov/authorities/subjects/sh85083643>	Mental illness
<urn:rula:2d0ff4cac5c0b1558e6b2dcb6a79a64500229e5626d78cbf4a368b62cc81628a>	Mentally ill--Canada
<http://id.loc.gov/authorities/subjects/sh85083699>	Mentally ill
<urn:rula:610fcbb0f8188944d17c6f895b5a1bf8225285cb489f8b1f01602e62c4f67c24>	Psychiatry--Philosophy--Case studies
<http://id.loc.gov/authorities/subjects/sh85108390>	Psychiatry--Philosophy
<urn:rula:070e574673fbba4a7fe40562b1d10c80d7bf9e5dd2c0ce7b432ba3cdf664f88b>	Antipsychiatry--Case studies
<http://id.loc.gov/authorities/subjects/sh85005738>	Antipsychiatry
<http://id.loc.gov/authorities/subjects/sh85108389>	Psychiatry--Methodology
<http://id.loc.gov/authorities/subjects/sh85113041>	Research--Moral and ethical aspects
