<http://id.loc.gov/authorities/subjects/sh2008111711>	Slavery--History
<http://id.loc.gov/authorities/subjects/sh2011002079>	Human trafficking (International law)
<http://id.loc.gov/authorities/subjects/sh2006002629>	Human trafficking
<http://id.loc.gov/authorities/subjects/sh2009006396>	Child trafficking
<http://id.loc.gov/authorities/subjects/sh2009007907>	Child trafficking victims
<http://id.loc.gov/authorities/subjects/sh2002001970>	Human smuggling
<http://id.loc.gov/authorities/subjects/sh85107626>	Prostitution
<http://id.loc.gov/authorities/subjects/sh85095528>	Organized crime
<http://id.loc.gov/authorities/subjects/sh2006007505>	Border security
<http://id.loc.gov/authorities/subjects/sh85050454>	Forced labor (International law)
<http://id.loc.gov/authorities/subjects/sh85050453>	Forced labor
