trial	value	u1-broader-e-mllm-en	u1-broader-stwfsa-en	u1-broader-yake-en	u1-broader-tfidf-en
0	0.3074333333333333	0.33495318930188767	0.4805147818962264	0.06764115875075916	0.1168908700511267
1	0.288	0.14704149221220938	0.4607331141816958	0.2718112942114145	0.12041409939468027
2	0.3013666666666666	0.2671450105652823	0.4649123130921142	0.04786886252240845	0.22007381382019506
3	0.2888666666666666	0.33393834761198926	0.26386465390340047	0.284291835722746	0.11790516276186425
4	0.30139999999999995	0.3923201261310654	0.2083864984564644	0.13859119582163895	0.26070217959083114
5	0.26686666666666664	0.339452231703242	0.025273559286698076	0.24872119026781475	0.3865530187422452
6	0.2621	0.16016313976777705	0.27054802039810905	0.4403285342648711	0.1289603055692428
7	0.2743333333333334	0.014074286568599945	0.40274999418233637	0.24738362953697246	0.3357920897120912
8	0.2735666666666666	0.15252884221916893	0.22643638957100443	0.24051752351456085	0.3805172446952659
9	0.29439999999999994	0.24302350605227002	0.32756737711433465	0.1341267464434895	0.29528237038990585
10	0.29103333333333326	0.34050171228734766	0.3363490110940702	0.3109747273725129	0.012174549246069219
11	0.2993	0.4812201935745092	0.23231254151654424	0.021040167436938463	0.2654270974720082
12	0.2934666666666666	0.4767675439156353	0.06673978264610426	0.16332501953728926	0.29316765390097116
13	0.3086333333333333	0.46021002531970623	0.362136533059198	0.1698089292139423	0.007844512407153531
14	0.3082333333333333	0.4117564574303803	0.4099507463785337	0.1756016896359516	0.0026911065551344245
15	0.3076666666666666	0.49638360560333256	0.2915071224584123	0.20692014907779638	0.00518912286045879
16	0.3066666666666666	0.41208552467864995	0.3484322719678173	0.1836430368597606	0.055839166493772206
17	0.27416666666666667	0.2126996967935882	0.19627025755743205	0.16249831144058932	0.42853173420839047
18	0.2949666666666666	0.5205102367309747	0.09698912731761673	0.3706317046190967	0.01186893133231181
19	0.2971333333333333	0.32419552500046384	0.3118458260277593	0.052163627478797464	0.3117950214929795
