<urn:rula:e73cbf908576eb0e952a9b288b03666802c2294b9e556c69a6ec4ad7453a1de1>	Cement composites--Testing
<urn:rula:6a9d9ad3e94ad9a965c0839df03c5f6340cc910ea109700b2b64ad798a43fe13>	Cement composites--Evaluation
<urn:rula:f38c35a2cea50fd63f43fc710eb3095082f417ccdea1b26d731a353dab5c580c>	Cement composites--Measurement
<urn:rula:4cb5d61726722bd6a21bf80328f14c18bd9a2a7cbd2e725552da86944c9e3d37>	Cement composites--Effect of salt on
<urn:rula:0f2ea51bf1e7f53eb081f321d17e6f9b5d49cd2de38db06de75f8f7f4ef20878>	Cement composites--Effect of temperature on
<urn:rula:c8c501ee6d7dd1d11b24d744f79a616db4151eac0f262d70fc1e2e3e68b92338>	Cement composites--Environmental testing
<http://id.loc.gov/authorities/subjects/sh85082069>	Materials--Compression testing
<http://id.loc.gov/authorities/subjects/sh85128671>	Strength of materials
<urn:rula:8b9b1180d4d82eb51c25228f4ae6f6717386f307fe7de836187f4ec2ff595bd2>	Concrete--Evaluation
<http://id.loc.gov/authorities/subjects/sh85049101>	Flexure
