<urn:rula:bd78280474604ccaf732b633dc6c395dcfd1b3308635e5c39ab75656897dbec3>	Internet of things--Security measures
<http://id.loc.gov/authorities/subjects/sh2013000266>	Internet of things
<urn:rula:4b8f130d004cb1beba9786b328d2c553810f48ee165a60ec89e58b2f31c32fdb>	Machine-to-machine communications--Security measures
<urn:rula:a1308781c0bc5a91fc4efeef5ae8e178f0776e2b6f4c074701313b81f32e4aa0>	Embedded Internet devices--Security measures
<http://id.loc.gov/authorities/subjects/sh2007000529>	Embedded Internet devices
<http://id.loc.gov/authorities/subjects/sh93005118>	Radio frequency identification systems
<urn:rula:cfc99e7fd1a0211677168331422fd00bcbea9c6a9f78580ecb16538f78fb605d>	Radio frequency identification systems--Security measures
<http://id.loc.gov/authorities/subjects/sh85107027>	Privacy
<http://id.loc.gov/authorities/subjects/sh2008110024>	Privacy, Right of--Canada
<urn:rula:43c218b36e733c1c7ae341f391400add9211fe9248f0b7fdaff76919f76fd3ec>	Data protection--Canada
<http://id.loc.gov/authorities/subjects/sh2013000266>	Internet of things
<http://id.loc.gov/authorities/subjects/sh2011005758>	Machine-to-machine communications
<urn:rula:a1308781c0bc5a91fc4efeef5ae8e178f0776e2b6f4c074701313b81f32e4aa0>	Embedded Internet devices--Security measures
<http://id.loc.gov/authorities/subjects/sh2007000529>	Embedded Internet devices
<urn:rula:cfc99e7fd1a0211677168331422fd00bcbea9c6a9f78580ecb16538f78fb605d>	Radio frequency identification systems--Security measures
<http://id.loc.gov/authorities/subjects/sh93005118>	Radio frequency identification systems
<http://id.loc.gov/authorities/subjects/sh2008110024>	Privacy, Right of--Canada
