<http://id.loc.gov/authorities/subjects/sh85119736>	Self-disclosure
<http://id.loc.gov/authorities/subjects/sh2007005697>	User-generated content
<urn:rula:e4444381cbc1ab590488727d4422fb15367fd2786165126128c0d45ea0bcfefa>	Social media--Security  measures
<urn:rula:a10f84e8d50cf6f9dafabddb16d363170a9285ab3066365d439666eb8e7839b3>	Social media--Canada
<urn:rula:a01aa4e9db2ff717dc776a1f4cb20af7d93a901d35b19f0a5c5b1972cb8b3eee>	Online social networks--Security measures
<http://id.loc.gov/authorities/subjects/sh2006006990>	Online social networks
<urn:rula:7a8944bed25fbf969b7240c6f4f70217ff8fc6644bb0d174556ce3397f88d3bd>	Privacy, Right of--Social aspects--Canada
<http://id.loc.gov/authorities/subjects/sh2008110024>	Privacy, Right of--Canada
<http://id.loc.gov/authorities/subjects/sh2008104644>	Internet--Security measures
<http://id.loc.gov/authorities/subjects/sh94003046>	Personal information management
