<urn:rula:00006396e001c2472a69214e869e79168790b73a3b221c52307a2d633652fc31>	Fishes--Mercury content--Ontario
<urn:rula:0004761cb356874d8176b5f612d057d109b4eaabe9b0214dfc8bf324426c3917>	Smith, Steve, 1945--Performances
<urn:rula:0010c8202679ed2ab1a26a00ceb50cd04f22f0b0a78f5ab2ac2855266c0d443e>	Peterborough (Ont.)--Emigration and immigration--Social aspects
<urn:rula:0018cb7a63978454ab7f07d51e9187a738a94c1d0c73f0b0bf95964cdaec01ef>	Brushless direct current electric motors--Design and construction
<urn:rula:00285d06152a22533bff80b8b6ec5136fed01383f836435c8004130dbc6a212f>	Detectors--Testing
<urn:rula:00368073937ef8822cec5ef97393f3a80115827d332fbbff604846b54cfa444d>	Baby boom generation--Health and hygiene
<urn:rula:00396b15ff6917fef8b77910f912b0c0a5e2e7c1a43e77714d1c5a6ebcd68fa0>	Architecture--Charts
<urn:rula:003c8d6f2742d7a8aa8d6629069034e63eb74df461056f6b0104656aa3e472da>	Taylor, Gloria, 1948-2012
<urn:rula:0041124131c3bbad48acdbb2db32dbbd4491f313f95dc2be915c7e74dd8b1834>	Biofilms--Measurement
<urn:rula:004de7660b5ac061e3bfe5365058b32308155773361cf40240be75afe063fab0>	Office decoration--Social aspects
<urn:rula:00556d20df0bb0c3daafa9eab7078edb8869d4909e7dc07499123ddf322d5ebc>	Photography--Canada, Northern--History
<urn:rula:005a030598a24804dd7659b64d50264af4bdd276e4ec827739b50f8c09f24b03>	Tissues--Thermal properties
<urn:rula:005a146a24790ad7ed70ba2e7290b41a47df9c46c0cba4810026ca8b1e6754fb>	Global warming--Social apsects
<urn:rula:005ccdf3ad62f8a42884a512f20e96223e1c78ae119c795f31fcc4c7862a667a>	Statelessness--Press coverage--Canada--20th century
<urn:rula:005dab8865a319976e61e321dd417798857e59ce2ae8f9550cbe6a170d327afa>	Problem children--Education--Case studies
<urn:rula:00686b5c9c18a18f7b0266a1ae5abe020c1cb5a1cbb3661969d9a02d1e991d6c>	Nanostructured materials--Design
<urn:rula:006a742e873c9b2f59b0843e1608f9c53c4e24ea1c420d8ca2ffc9eef66fc161>	Electronic dance music--Social aspects--Great Britain--London
<urn:rula:0082f2266acfc6c5e9c41069f8eef2242d27321b1137b5a42b7d7430a4bc8670>	Cities and towns--Technological innovations
<urn:rula:008b0d4c9bb8e1313719148b569d7e9ce2ed3039b61821f25611d4ab53b309ce>	Stress--Age factors
<urn:rula:008c9ed48ce6a63f5ceeb9465b6e57500f81c1a1c56cb392f6cc2122876d2e67>	Beaches--Ontario
<urn:rula:009beee2aa1f4a1add9f1db36cd6fffaa4921b77e1cedc83ea0b36386398ea2a>	Liberty Village (Toronto, Ont.)--Case studies
<urn:rula:00ae95981b10693cb154efaa31e104404f621d3d3dbe8343faab9bf7101bb596>	Pavements--Performance--Ontario
<urn:rula:00b0d880f4890b7e431282c2e5301fbe1b0f5287153d72ca582ae8c74001636d>	Chinese--Canada--Social conditions.
<urn:rula:00b314542400babab8fd739f7de69cb172b68f3f421665b244faa4d9d82940fc>	Costume design--History--20th century
<urn:rula:00bcc407c9276f413304c64d5dd6b20e9fffb304a76d9abe7a327c8cf00dff32>	Speech processing systems--Mathematical models
<urn:rula:00c269b4c4a5a64c6288d825baf02e8d489924e5e72c08210a8bb01bd04b8d23>	MacLean, Margaret--Archives
<urn:rula:00c3a4ea2d8bc60bbd24d367f7ea69b1492faa1ddb90bfd7091b752e9df68a85>	Women refugees--Canada--Social conditions
<urn:rula:00c9b2680ab6c804f9f7ef6d71681c3b934d786f056710c3c58a29580cdbc683>	Cognitive learning--Case studies
<urn:rula:00ca55ea78be968d1a97e8d939949843b41c6fd9479d2cdd69ea296aaa69410c>	Biometry--Canada
<urn:rula:00d155938ff5df1d89917cddeebf633adb6dbbc2bb04082cf8501bc2582c8099>	Storm water retention basins--Ontario--Toronto--Mathematical models
<urn:rula:00d445f01b2daf27ab7cfe5bdcfacd10f79740a1816dca614f857942282db538>	Photographers--20th century
<urn:rula:00d61c5756e113e4401eb0f1454eb935cf89420049335ab6ee09b61166378bb1>	Wikis
<urn:rula:00d7d9e9c9a9bee9e6eaa39635901ee03ebe3d57d20ae865e4e51c3db8185293>	Schelling, Friedrich Wilhelm Joseph von, 1775-1854--Aesthetics
<urn:rula:00e4d8dc59627a4b88280783a4ea41b575071d512de9a4f2faf7395d8b94c268>	Soil biodiversity--Moldova
<urn:rula:00f33e8cd4857cc0574ece4de9f749bb6f6ac036b5d40e45e44844a8a1de6dc6>	Water-supply--Alberta--South Saskatchewan River Basin--Management
<urn:rula:00f9679dcb9610e290a44dbc0fccec1dfce32f632bad013927f5f3f04c9e0870>	Refugees--South Africa
<urn:rula:0102cb9d53c66d6126db02990b9fd6e71abf4be6baa268cfdd1828c144310d3a>	Phenomenology--Research--Methodology
<urn:rula:01050adf34a4218d26ebe6fa787aab464d876c143e811e8c2069573d5683767f>	Multiple sclerosis--Patients--Sexual behavior--Psychological aspects
<urn:rula:010850897616ed51de2e664985a93dc8f887d8b99a691913ed778ccd2a975725>	Wind forecasting--Ontario
<urn:rula:010b3c46ac188cb5b20115277bfa2cb97ee13ad3eeacc8f10e7734258d242e6a>	Lululemon  Athletica
<urn:rula:011216eac451f305e9b04d8f68becb3ffe6f51a0b54163ea0f6e340deef969d6>	Labor policy--Ontario--Markham
<urn:rula:0118f5a6701bd673241122d4c40e7e541e76a274eb2ec9e1142a0ee7262cbec8>	Constance Lake First Nation
<urn:rula:012965d834dc2c2942f1707a2d7456c65be981e8df2135c7184c4902f6fc3820>	Knowledge management--Social aspects
<urn:rula:012b84aa7790c6e6ed6c8e0a0548366e856ad0a780ef2ca71b798adf30531846>	Mentors
<urn:rula:013083be79a06a2c5f88827e88bba5b36026e5cc940e71572304dbc87b1680da>	Toronto Pride Week
<urn:rula:0138629e1839a3eea45588825bc97df18e8a5e797e8a90743672491776c0f585>	Performing Arts--Television--History & Criticism.
<urn:rula:014471f6b9f2a1478eb41869f84d5d7dcfd94b83ff7716fb229ac19c88f341d9>	Environmentalism--Political aspects
<urn:rula:01533f01a6c8328be1b99957d8d75f3f974e61946647938f9b0a2ebd50ac6979>	Aliens--Education--Ontario--Toronto
<urn:rula:01538418c15493b342c53b91df55aabe9ad727ce683f432b7876cf3a5b17e341>	Internet marketing--Sports
<urn:rula:015d678ce9759cba7b33788a16c94ae36cde4aa471344c3919b1aa16bb2779d7>	Emin, Tracey
<urn:rula:01656bb96b763dcb1318b26ac20f793b3b7b00081563d755284c86abf30e7cee>	Post-traumatic stress disorder--Physiological aspects
<urn:rula:016ae5fc32b7785025d06cd29b277d6227e395e2f5152c5ab1f1394b90fda640>	Wife abuse--Canada
<urn:rula:016d145b3c394bf78c86662f5871491a1230d7690412f6e522d963fd60ccf501>	Laser beams--Design
<urn:rula:0170586b00b27720fb363a6079359a1ed1223300566b4551e3dfbe6963dab39e>	James Inglis Studio--Photograph collections
<urn:rula:017aad36458bb236db529a075024c768c6c4fdb5ce36c6317cac9739b098a7a5>	Cyanobacterial toxins--Canada
<urn:rula:017e3c263633a29e22d43e230b0a697722540eee7ff922e90eb79cb278adbe23>	Sustainable buildings--Economic aspects--Ontario
<urn:rula:0181eb79d4822112a0f0e5983207f77d1f5821c627d87895d199c7e8f7c0b413>	Obstetrics--Study and teaching--Simulation methods
<urn:rula:018a8f02b4c7c41262409be79ae1d11b9b7fd1ba958ca950249fd73a27bce75f>	Women--Identity--Cross-cultural studies
<urn:rula:018f62a6ea812b19e87bcdc64afa10a2e6d9619095572a8fbb28dec52abbcd3f>	Nitrogen--Toxicology
<urn:rula:019f32fa9220134fcd7b07d31af60a7be6d899ca260cc9ab643578eb5792fa61>	Land use--Ontario--Toronto
<urn:rula:01ccaf00657b3828d65a3a4d5aa7146dff24deccf5489a0907406a8cdc1949ec>	Intramedullary fracture fixation--Complications--Mathematical models
<urn:rula:01d666765a3aba83ac43ba91011245c3a0e9fe2aba24a582ef302c0f34d64e90>	City and town life--Iran
<urn:rula:01d87987866d732dff39807fb29f8ef07b6202b7ea28fdbd910e5a164d05fcf6>	Refugees--Canada--Social conditions
<urn:rula:01eb8863262e60fd244aa45f1c7316b01410c88310f92cb505ea80969687bba4>	Water--Phosphorus content--Ontario--Lake Simcoe
<urn:rula:01efb4843fcd99f96330718bba3d39949f5d7dc4b357e6fe814d9435cc8ee398>	Older automobile drivers--Ability testing--Canada--Case studies
<urn:rula:0200125d00843b681668b9ac24edde29fe73e77c75ddaca4df49dbe3bf4a8cbf>	Youth and violence--Canada
<urn:rula:0207543254dbf67f6272ebb5dd19ff07c4f10c7d3b46579d5ed9c783c25ffee8>	Dwellings--Energy conservation--Case studies
